date,Haun
2022-01-19,2.6 - 2.8
2022-02-14,3 - 3.2
2022-03-09,5.7 - 5.9
2022-03-22,7.1 - 7.3
2022-04-05,8.5 - 9
2022-04-19,10.5 - 11.1
2022-05-03,10.9 - 11.5
