,Image.Name,Date,Altitude,Genotype,Rows,Plots,count_mean,Sowing_density,Intensity,Hue,Saturation,Lightness,a.,b.,u.,v.,GA,GGA,CSI,NGRDI,NGRDIveg,TGI,TGIveg
1,R-001_Plot-001,2023-01-23,15m,HONDIA,R1,101,66,70,0.56834465,28.155272,0.078357756,60.723087,-0.71076536,15.270522,7.4295917,19.24621,0.001233955,3.05623471882641e-05,97.52321981,-0.0425,0.0029,222.1263,615.1027
2,R-001_Plot-001,2023-06-07,15m,HONDIA,R1,101,66,70,0.42773417,37.809494,0.16073018,47.800873,-1.0972583,19.13562,8.09893,21.99415,0.130483541,0.02935205,77.50517033,-0.0559,0.0225,802.3931,1420.5606
3,R-001_Plot-001,2023-04-25,50m,HONDIA,R1,101,66,70,0.3507743,74.998985,0.049762547,38.90682,-4.772171,9.739709,-1.37077,11.819088,0.692922574,0.479541985,30.7942903,0.0218,0.04,524.5887,618.0307
4,R-001_Plot-001,2023-03-16,50m,HONDIA,R1,101,66,70,0.65856427,26.429932,0.063216925,69.26428,-1.0953009,15.441632,7.2003603,20.18282,0.012344602,0.002311887,81.27208481,-0.0366,0.0079,151.3925,646.9688
5,R-001_Plot-001,2023-02-24,50m,HONDIA,R1,101,66,70,0.6122871,28.600134,0.103500664,65.31201,0.31027177,18.680113,10.894115,23.380526,0.005310796,0.000338059,93.63449692,-0.0537,0.0056,337.6139,975.5172
6,R-001_Plot-001,2023-04-13,15m,HONDIA,R1,101,66,70,0.3992734,63.115955,0.070388675,44.309338,-4.948329,12.217844,-0.47385448,15.064669,0.6010723,0.41542717,30.88565723,0.02,0.0575,682.2826,903.064
7,R-001_Plot-001,2023-06-07,30m,HONDIA,R1,101,66,70,0.4463221,37.542755,0.15253145,49.65032,-1.1800085,19.098852,8.07545,22.255917,0.097840909,0.012995455,86.71777003,-0.0521,0.0173,783.0232,1373.3972
8,R-001_Plot-001,2023-05-24,30m,HONDIA,R1,101,66,70,0.39635333,39.98302,0.09367138,43.7853,-2.396585,13.228905,3.4403837,15.62563,0.360013636,0.171859091,52.26317185,-0.0266,0.0241,482.4598,703.5154
9,R-001_Plot-001,2023-05-04,30m,HONDIA,R1,101,66,70,0.3778108,75.13447,0.04841721,41.801075,-5.0168214,10.192535,-1.4911383,12.631403,0.665413636,0.467795455,29.69854704,0.0187,0.0397,551.0891,644.8876
10,R-001_Plot-001,2023-05-04,50m,HONDIA,R1,101,66,70,0.39697972,59.27035,0.05280453,43.696323,-4.2369184,10.63243,-0.24835245,13.154673,0.590883315,0.375267176,36.49047689,0.0066,0.0287,474.7088,588.9839
11,R-001_Plot-001,2023-04-13,30m,HONDIA,R1,101,66,70,0.42792988,49.289505,0.07342917,47.1108,-3.887164,12.748887,1.2527179,15.743335,0.523184329,0.301722752,42.32955091,-2.00E-04,0.0358,568.0218,840.1114
12,R-001_Plot-001,2023-03-16,30m,HONDIA,R1,101,66,70,0.64532954,24.996187,0.059759855,67.903854,-0.95526683,14.777063,7.022698,19.25796,0.040893281,0.003968379,90.29576648,-0.0369,0.0117,95.3267,937.9471
13,R-001_Plot-001,2023-02-24,30m,HONDIA,R1,101,66,70,0.5952151,32.92131,0.08629638,63.680035,-1.6028981,16.905891,7.025673,21.573164,0.01505,0.000309091,97.94623981,-0.0364,0.0064,434.5147,971.0707
14,R-001_Plot-001,2023-01-23,50m,HONDIA,R1,101,66,70,0.60567623,30.324415,0.09746915,64.7047,-0.5051138,18.07555,9.3169155,22.795362,0.001537623,0,100,-0.0473,0.0019,390.4044,665.6849
15,R-001_Plot-001,2023-05-30,30m,HONDIA,R1,101,66,70,0.39456144,51.20466,0.098070025,43.988956,-4.076805,13.964744,1.4829918,16.727037,0.465918182,0.1853,60.2290687,-0.0085,0.0255,735.8639,962.2222
16,R-001_Plot-001,2023-05-24,15m,HONDIA,R1,101,66,70,0.35748085,48.112526,0.094600916,39.85421,-3.3819058,12.586391,1.7113341,14.657339,0.484835165,0.287224257,40.75836943,-0.0157,0.034,591.2235,781.1751
17,R-001_Plot-001,2023-05-04,15m,HONDIA,R1,101,66,70,0.34535444,87.91518,0.046803653,38.476845,-5.598015,9.692296,-2.448676,11.863987,0.710882496,0.563777286,20.69332283,0.0333,0.0575,614.7302,709.5116
18,R-001_Plot-001,2023-04-25,30m,HONDIA,R1,101,66,70,0.35213542,77.86797,0.054817975,39.205402,-5.2110224,10.243227,-1.7150378,12.457961,0.722454545,0.508545455,29.60865735,0.0272,0.0467,610.9391,715.9505
19,R-001_Plot-001,2023-04-03,30m,HONDIA,R1,101,66,70,0.4666171,52.14547,0.07742554,51.274982,-4.5314155,14.083013,1.050824,17.755941,0.485,0.24786166,48.89450308,-4.48E-05,0.0336,703.3168,1016.6987
20,R-001_Plot-001,2023-03-16,15m,HONDIA,R1,101,66,70,0.6063941,32.953556,0.0654459,64.51654,-2.2740877,15.057765,5.096664,19.609093,0.117387834,0.032850009,72.01583171,-0.026,0.0239,336.586,1020.5548
21,R-001_Plot-001,2023-02-24,15m,HONDIA,R1,101,66,70,0.55211776,31.474804,0.10409838,59.550762,-0.5885975,17.50972,8.694352,21.664362,0.042501219,0.006342915,85.07592321,-0.0493,0.0136,427.9468,1094.5607
22,R-001_Plot-001,2023-01-23,30m,HONDIA,R1,101,66,70,0.4777446,34.884922,0.11354524,52.304615,-1.1930559,16.647953,7.0663137,20.04158,0.011816079,0.000323887,97.25893294,-0.0438,0.0067,530.9723,1045.2031
23,R-001_Plot-001,2023-05-30,15m,HONDIA,R1,101,66,70,0.34145936,42.76459,0.12720615,38.321243,-2.4374607,14.132545,3.5761428,15.828759,0.312528879,0.092370045,70.44431683,-0.0313,0.0244,634.7359,899.8099
24,R-001_Plot-001,2023-04-03,50m,HONDIA,R1,101,66,70,0.4676492,36.900707,0.07166755,50.865536,-2.408066,13.017875,3.5317423,16.133125,0.309541985,0.087895311,71.6047208,-0.0218,0.0159,371.9021,782.0215
25,R-001_Plot-001,2023-03-06,50m,HONDIA,R1,101,66,70,0.60279226,24.703627,0.047546268,63.70004,-1.569464,12.868635,4.9831862,16.792944,0.036695747,0.006673937,81.8127786,-0.0302,0.0051,63.8951,463.1496
26,R-001_Plot-001,2023-04-25,15m,HONDIA,R1,101,66,70,0.35252824,84.6615,0.05382985,39.35608,-5.7666435,10.34539,-2.3872232,12.6761265,0.72527148,0.586166515,19.17970985,0.0414,0.0675,679.5874,817.1399
27,R-001_Plot-001,2023-05-30,50m,HONDIA,R1,101,66,70,0.3961319,38.44495,0.13679874,44.182472,-1.5779649,16.305418,5.966279,18.69811,0.115812432,0.004536532,96.08286252,-0.0424,0.0111,653.6684,991.6864
28,R-001_Plot-001,2023-05-10,50m,HONDIA,R1,101,66,70,0.37564942,55.544186,0.06391829,41.54329,-3.9910388,10.974757,0.21715541,13.270366,0.564732824,0.325517993,42.35893871,0.0033,0.0283,505.0063,631.5749
29,R-001_Plot-001,2023-05-10,30m,HONDIA,R1,101,66,70,0.387971,66.69437,0.05475533,42.87871,-4.706444,10.747801,-0.8266052,13.284724,0.611586364,0.411468182,32.72116478,0.0142,0.0401,549.9478,652.9451
30,R-001_Plot-001,2023-06-07,50m,HONDIA,R1,101,66,70,0.45715356,39.247395,0.15811318,50.961285,-1.642574,20.053663,7.9057503,23.51446,0.058222465,0.007241003,87.56321409,-0.0472,0.0158,907.3211,1457.3909
31,R-001_Plot-001,2023-05-24,50m,HONDIA,R1,101,66,70,0.36687568,46.364548,0.08729321,40.736,-3.1881084,12.255149,1.8448075,14.389516,0.443784079,0.205823337,53.62083794,-0.0136,0.0252,530.8423,710.5207
32,R-001_Plot-001,2023-03-06,30m,HONDIA,R1,101,66,70,0.5953919,29.128487,0.046994627,63.1133,-2.256559,12.883264,3.9588885,16.905378,0.083186364,0.011677273,85.96251571,-0.0243,0.0067,160.2338,518.1614
33,R-001_Plot-001,2023-03-06,15m,HONDIA,R1,101,66,70,0.57064754,37.638897,0.050543785,60.96509,-3.2435842,13.128847,2.5939882,17.241638,0.172894383,0.059009599,65.86956842,-0.015,0.0183,333.5736,515.6957
34,R-001_Plot-001,2023-05-10,15m,HONDIA,R1,101,66,70,0.36739585,93.12922,0.04483956,40.92283,-6.1961446,10.104037,-3.064951,12.651892,0.725994493,0.585834285,19.30596028,0.042,0.0654,690.6914,787.9825
