"","model_ID","model","altitude","Haun","Sowing_density","MAPESD_perclass","MAPE_perclass","MAPESD_overall","MAPE_overall","MAESD","MAE","R2SD","R2","RMSESD","RMSEmean"
"1","10.5 - 11.1 PCR 50m","PCR","50m","10.5 - 11.1",35,40.8980179723161,68.5784761573768,9.37713621424967,46.7171922922295,10.5402374930874,59.3336888604202,0.0858075628712758,0.64842670760012,10.7293428395962,74.6821473640857
"2","10.5 - 11.1 PCR 50m","PCR","50m","10.5 - 11.1",70,25.1232362625814,46.587194434947,9.37713621424967,46.7171922922295,10.5402374930874,59.3336888604202,0.0858075628712758,0.64842670760012,10.7293428395962,74.6821473640857
"3","10.5 - 11.1 PCR 50m","PCR","50m","10.5 - 11.1",140,23.8697272460158,58.4133706663696,9.37713621424967,46.7171922922295,10.5402374930874,59.3336888604202,0.0858075628712758,0.64842670760012,10.7293428395962,74.6821473640857
"4","10.5 - 11.1 PCR 50m","PCR","50m","10.5 - 11.1",280,12.1168993694294,25.9429437841863,9.37713621424967,46.7171922922295,10.5402374930874,59.3336888604202,0.0858075628712758,0.64842670760012,10.7293428395962,74.6821473640857
"5","10.5 - 11.1 PCR 50m","PCR","50m","10.5 - 11.1",560,5.03869232449162,31.9267241017072,9.37713621424967,46.7171922922295,10.5402374930874,59.3336888604202,0.0858075628712758,0.64842670760012,10.7293428395962,74.6821473640857
"6","10.5 - 11.1 Ridge 50m","Ridge","50m","10.5 - 11.1",35,23.5899638130763,45.2404334690662,7.31602133743765,40.2813024854395,8.31483123684977,52.5048229080889,0.0956526560170225,0.698904450472797,11.1897419004288,68.8017252631134
"7","10.5 - 11.1 Ridge 50m","Ridge","50m","10.5 - 11.1",70,26.7574705049009,49.7839353609324,7.31602133743765,40.2813024854395,8.31483123684977,52.5048229080889,0.0956526560170225,0.698904450472797,11.1897419004288,68.8017252631134
"8","10.5 - 11.1 Ridge 50m","Ridge","50m","10.5 - 11.1",140,24.3098775969585,53.8464950237663,7.31602133743765,40.2813024854395,8.31483123684977,52.5048229080889,0.0956526560170225,0.698904450472797,11.1897419004288,68.8017252631134
"9","10.5 - 11.1 Ridge 50m","Ridge","50m","10.5 - 11.1",280,8.43453872019534,23.2361056637088,7.31602133743765,40.2813024854395,8.31483123684977,52.5048229080889,0.0956526560170225,0.698904450472797,11.1897419004288,68.8017252631134
"10","10.5 - 11.1 Ridge 50m","Ridge","50m","10.5 - 11.1",560,7.93403530729059,27.6498815170189,7.31602133743765,40.2813024854395,8.31483123684977,52.5048229080889,0.0956526560170225,0.698904450472797,11.1897419004288,68.8017252631134
"11","10.9 - 11.5 PCR 50m","PCR","50m","10.9 - 11.5",35,43.3931944908604,129.236283889606,12.2142263420833,77.0254549283392,8.97857116593831,83.0791228164201,0.108316961974889,0.342174285029962,12.6376319369784,103.071263800879
"12","10.9 - 11.5 PCR 50m","PCR","50m","10.9 - 11.5",70,41.2233748796412,112.564067279004,12.2142263420833,77.0254549283392,8.97857116593831,83.0791228164201,0.108316961974889,0.342174285029962,12.6376319369784,103.071263800879
"13","10.9 - 11.5 PCR 50m","PCR","50m","10.9 - 11.5",140,29.3297129030151,77.5264954475555,12.2142263420833,77.0254549283392,8.97857116593831,83.0791228164201,0.108316961974889,0.342174285029962,12.6376319369784,103.071263800879
"14","10.9 - 11.5 PCR 50m","PCR","50m","10.9 - 11.5",280,9.11715567551024,19.3439147440978,12.2142263420833,77.0254549283392,8.97857116593831,83.0791228164201,0.108316961974889,0.342174285029962,12.6376319369784,103.071263800879
"15","10.9 - 11.5 PCR 50m","PCR","50m","10.9 - 11.5",560,9.10931032074006,45.389369035952,12.2142263420833,77.0254549283392,8.97857116593831,83.0791228164201,0.108316961974889,0.342174285029962,12.6376319369784,103.071263800879
"16","10.9 - 11.5 Ridge 50m","Ridge","50m","10.9 - 11.5",35,47.2444668183794,111.721013185304,13.0199087790117,65.37644907269,10.1175096473898,72.3352234542444,0.129419393007428,0.48139828329842,12.0595099096013,90.7042256102219
"17","10.9 - 11.5 Ridge 50m","Ridge","50m","10.9 - 11.5",70,41.3654226794264,88.003419895767,13.0199087790117,65.37644907269,10.1175096473898,72.3352234542444,0.129419393007428,0.48139828329842,12.0595099096013,90.7042256102219
"18","10.9 - 11.5 Ridge 50m","Ridge","50m","10.9 - 11.5",140,33.9548829124422,71.0261681367885,13.0199087790117,65.37644907269,10.1175096473898,72.3352234542444,0.129419393007428,0.48139828329842,12.0595099096013,90.7042256102219
"19","10.9 - 11.5 Ridge 50m","Ridge","50m","10.9 - 11.5",280,7.73485587637845,14.8998641475242,13.0199087790117,65.37644907269,10.1175096473898,72.3352234542444,0.129419393007428,0.48139828329842,12.0595099096013,90.7042256102219
"20","10.9 - 11.5 Ridge 50m","Ridge","50m","10.9 - 11.5",560,8.62781796157785,38.1650455283443,13.0199087790117,65.37644907269,10.1175096473898,72.3352234542444,0.129419393007428,0.48139828329842,12.0595099096013,90.7042256102219
"21","2.6 - 2.8 PCR 15m","PCR","15m","2.6 - 2.8",35,118.861252966762,182.205844337362,25.1904553546737,70.3721953517289,8.84201546815884,59.7032365302941,0.149945642436368,0.620170507616041,12.7199887977446,78.6520515556983
"22","2.6 - 2.8 PCR 15m","PCR","15m","2.6 - 2.8",70,40.7353880978684,91.3307825300059,25.1904553546737,70.3721953517289,8.84201546815884,59.7032365302941,0.149945642436368,0.620170507616041,12.7199887977446,78.6520515556983
